INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
26929482,2007-02-18,04:01:00,BROOKLYN,77,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,BLACK,1000836.125,185082.03125,40.67467684800005,-73.94020707599998,POINT (-73.94020707599998 40.67467684800005)
23525522,2006-07-23,20:57:00,BRONX,42,0,UNKNOWN,False,25-44,M,BLACK,45-64,M,BLACK,1009909.1875,241902.203125,40.83061207300005,-73.90728113499993,POINT (-73.90728113499995 40.830612073000054)
84798578,2012-05-17,20:55:00,BROOKLYN,75,0,UNKNOWN,True,25-44,F,BLACK,25-44,M,BLACK HISPANIC,1014951.9375,182321.9375,40.66706331400008,-73.88933100399998,POINT (-73.88933100399998 40.667063314000075)
90557984,2013-05-09,22:55:00,BRONX,49,0,UNKNOWN,False,18-24,M,BLACK,45-64,M,BLACK,1026215.9375,256827.390625,40.87151480800002,-73.84826283099994,POINT (-73.84826283099994 40.87151480800003)
235637134,2021-10-28,23:55:00,BROOKLYN,73,0,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,25-44,M,BLACK,1008795.0,178153.0,40.65563971300003,-73.91153990699996,POINT (-73.91153990699996 40.65563971300003)
224079785,2021-02-07,01:23:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,BLACK,1004019.0,190208.0,40.68873993000005,-73.92871751299998,POINT (-73.92871751299998 40.68873993000005)
139685100,2014-11-15,18:00:00,BROOKLYN,88,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,990145.4375,192121.984375,40.69401348900004,-73.97874173799994,POINT (-73.97874173799994 40.69401348900004)
24814499,2006-10-13,21:35:00,QUEENS,102,0,RESTAURANT/DINER,False,18-24,M,BLACK,18-24,M,WHITE HISPANIC,1032244.6875,194619.828125,40.70074130500007,-73.82690883699996,POINT (-73.82690883699996 40.700741305000065)
242439532,2022-03-21,13:10:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1005769.0,183590.0,40.670563,-73.922425,POINT (-73.922425 40.670563)
226445225,2021-04-02,13:20:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,False,<18,M,BLACK,<18,M,BLACK,961580.0,163524.0,40.61549122300004,-74.08165622999996,POINT (-74.08165622999996 40.61549122300004)
24717013,2006-10-09,19:41:00,STATEN ISLAND,120,0,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,45-64,F,WHITE HISPANIC,936721.6875,172119.4375,40.63898537500006,-74.17125343299993,POINT (-74.17125343299995 40.63898537500006)
23354089,2006-07-03,11:10:00,BROOKLYN,60,0,UNKNOWN,False,45-64,M,WHITE,45-64,M,WHITE HISPANIC,988705.5,154179.84375,40.589871294000034,-73.98395938899995,POINT (-73.98395938899995 40.589871294000034)
71837008,2010-03-20,20:17:00,STATEN ISLAND,120,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,18-24,M,BLACK,961252.0,166311.203125,40.62314066900007,-74.08284714299998,POINT (-74.08284714299998 40.623140669000065)
75847942,2010-12-05,14:14:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,18-24,M,BLACK,999024.8125,193414.09375,40.69754966200002,-73.94671873799997,POINT (-73.94671873799996 40.69754966200003)
233761160,2021-09-18,17:55:00,QUEENS,113,0,UNKNOWN,False,<18,M,BLACK,45-64,M,BLACK,1048494.0,184974.0,40.67416275900007,-73.76839798399999,POINT (-73.76839798399999 40.67416275900007)
93607541,2013-11-15,23:36:00,BROOKLYN,83,0,UNKNOWN,False,18-24,M,BLACK,25-44,M,BLACK,1001698.375,193586.046875,40.69801676600008,-73.93707657299996,POINT (-73.93707657299996 40.69801676600008)
145559869,2015-08-23,09:43:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,False,25-44,F,BLACK,25-44,M,BLACK,1043516.125,157080.9375,40.59763718200002,-73.78658842699997,POINT (-73.78658842699997 40.59763718200003)
92293263,2013-08-25,00:58:00,BROOKLYN,72,0,UNKNOWN,True,18-24,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,984691.8125,175339.046875,40.64795002700004,-73.99840930999994,POINT (-73.99840930999994 40.647950027000036)
68964080,2009-12-17,13:45:00,MANHATTAN,20,0,MULTI DWELL - APT BUILD,False,25-44,M,WHITE HISPANIC,45-64,M,BLACK HISPANIC,990838.625,225657.703125,40.78606022200006,-73.97620917299997,POINT (-73.97620917299997 40.78606022200006)
219688157,2020-10-24,01:58:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,25-44,M,BLACK,25-44,M,BLACK,1000101.5,229680.1875,40.79708909900006,-73.94275038599993,POINT (-73.94275038599994 40.79708909900006)
72371102,2010-04-23,22:31:00,BRONX,44,2,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK,<18,F,BLACK,1008150.8125,241893.234375,40.83059238900006,-73.91363510899998,POINT (-73.91363510899998 40.83059238900006)
238004075,2021-12-17,22:13:00,BROOKLYN,69,0,GROCERY/BODEGA,False,25-44,M,BLACK,25-44,M,BLACK,1011203.0,174515.0,40.64564719600002,-73.90287588699994,POINT (-73.90287588699994 40.64564719600002)
80573513,2011-09-02,18:10:00,BRONX,46,0,MULTI DWELL - APT BUILD,True,25-44,M,BLACK,25-44,M,BLACK,1005724.9375,249742.046875,40.85214131600002,-73.92237594899996,POINT (-73.92237594899996 40.85214131600003)
183583892,2018-06-07,12:15:00,BROOKLYN,66,0,MULTI DWELL - APT BUILD,False,18-24,M,BLACK HISPANIC,18-24,M,ASIAN / PACIFIC ISLANDER,983041.25,171997.4375,40.638777954000034,-74.00435674199997,POINT (-74.00435674199997 40.638777954000034)
156245994,2016-08-28,02:11:00,BROOKLYN,69,0,UNKNOWN,True,25-44,M,BLACK,25-44,M,BLACK,1011275.6875,173735.21875,40.64350664400007,-73.90261707999997,POINT (-73.90261707999997 40.64350664400007)
80767341,2011-09-17,16:28:00,QUEENS,101,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1044074.5,156298.859375,40.59548678900006,-73.78458469199995,POINT (-73.78458469199995 40.59548678900006)
215225158,2020-07-12,11:32:00,BROOKLYN,79,0,UNKNOWN,False,25-44,M,BLACK,45-64,M,BLACK,998138.3125,193910.09375,40.69891250200004,-73.94991471799993,POINT (-73.94991471799995 40.69891250200004)
84352571,2012-04-22,22:50:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK,18-24,M,BLACK,1005506.625,185647.421875,40.676218736000074,-73.92336775699994,POINT (-73.92336775699994 40.67621873600007)
199401908,2019-07-05,17:20:00,BRONX,41,0,PVT HOUSE,False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1015346.1875,236366.671875,40.81540114900002,-73.88766002899996,POINT (-73.88766002899996 40.815401149000024)
85500512,2012-06-29,02:22:00,BROOKLYN,60,0,UNKNOWN,False,18-24,M,WHITE,25-44,M,WHITE,993288.6875,150942.34375,40.58098151200005,-73.96746192899997,POINT (-73.96746192899997 40.58098151200005)
253591892,2022-11-03,22:01:00,BRONX,44,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK HISPANIC,45-64,M,BLACK,1004530.0,242728.0,40.832887,-73.926715,POINT (-73.926715 40.832887)
246250740,2022-06-07,23:04:00,QUEENS,113,0,PVT HOUSE,False,18-24,M,BLACK,<18,F,BLACK,1053639.0,195155.0,40.70206,-73.749741,POINT (-73.749741 40.70206)
208899478,2020-02-02,02:32:00,MANHATTAN,25,0,UNKNOWN,False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,999520.0,230738.0,40.799993530000044,-73.94484819199994,POINT (-73.94484819199994 40.79999353000005)
10804600,2006-03-28,15:43:00,BRONX,47,0,UNKNOWN,False,25-44,M,BLACK,45-64,M,BLACK,1022381.125,260533.640625,40.88170470800002,-73.86210746199998,POINT (-73.86210746199998 40.88170470800003)
34286622,2007-09-09,02:30:00,BRONX,42,0,MULTI DWELL - PUBLIC HOUS,False,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1009695.25,243534.765625,40.83509360400007,-73.90804801299998,POINT (-73.90804801299998 40.835093604000065)
229824436,2021-06-18,19:10:00,BRONX,46,0,UNKNOWN,False,25-44,M,BLACK,18-24,M,BLACK HISPANIC,1010591.0,250447.0,40.85406302600006,-73.90478382299993,POINT (-73.90478382299993 40.85406302600006)
52078123,2008-10-10,21:56:00,BROOKLYN,73,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK HISPANIC,<18,M,BLACK,1006140.0,183727.359375,40.67094705300008,-73.92109057199998,POINT (-73.92109057199997 40.67094705300008)
59090172,2009-02-25,17:16:00,BROOKLYN,75,0,UNKNOWN,False,25-44,M,BLACK,<18,F,BLACK,1015480.5625,181597.8125,40.665073904000046,-73.88742883999998,POINT (-73.88742883999998 40.66507390400005)
91732783,2013-07-19,22:47:00,MANHATTAN,9,2,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,18-24,M,BLACK,990954.1875,203045.640625,40.72399576700008,-73.97581440699997,POINT (-73.97581440699997 40.723995767000076)
163842826,2017-04-16,00:08:00,STATEN ISLAND,120,0,GROCERY/BODEGA,False,18-24,M,BLACK,25-44,M,BLACK,960729.875,163209.0,40.614624398000046,-74.084717185,POINT (-74.08471718499999 40.614624398000046)
185849659,2018-07-31,20:20:00,BRONX,46,0,UNKNOWN,False,18-24,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1011256.1875,251003.5625,40.855588614000055,-73.90237705899993,POINT (-73.90237705899995 40.855588614000055)
87234252,2012-10-14,19:34:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,999154.75,226675.703125,40.78884424900008,-73.94617644199997,POINT (-73.94617644199997 40.78884424900008)
220296952,2020-11-10,05:43:00,BROOKLYN,73,0,UNKNOWN,True,45-64,M,BLACK,45-64,F,BLACK,1009205.1875,180903.71875,40.66318868100007,-73.91005138999996,POINT (-73.91005138999998 40.663188681000065)
55299654,2008-12-30,01:47:00,MANHATTAN,34,0,UNKNOWN,False,<18,M,BLACK HISPANIC,25-44,M,BLACK HISPANIC,1006571.9375,254815.34375,40.86606388900003,-73.91929740199998,POINT (-73.91929740199998 40.86606388900003)
79726749,2011-07-10,00:27:00,QUEENS,105,0,PVT HOUSE,False,18-24,M,BLACK,18-24,M,BLACK,1052197.375,180848.859375,40.662812561000074,-73.75508874199994,POINT (-73.75508874199994 40.66281256100007)
165014942,2017-05-20,21:27:00,BRONX,46,0,UNKNOWN,True,25-44,M,WHITE HISPANIC,18-24,M,BLACK,1006956.625,248722.8125,40.84934073900007,-73.91792721899996,POINT (-73.91792721899998 40.84934073900007)
93164825,2013-10-19,23:54:00,BRONX,52,0,UNKNOWN,False,18-24,M,BLACK,<18,M,BLACK HISPANIC,1012292.375,253737.28125,40.86308861700008,-73.89861992199997,POINT (-73.89861992199997 40.863088617000074)
85875439,2012-07-22,21:35:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,<18,M,BLACK,1011046.6875,239814.234375,40.82487781900005,-73.90317908399999,POINT (-73.90317908399999 40.82487781900005)
82496548,2012-01-05,22:36:00,BRONX,52,0,MULTI DWELL - APT BUILD,False,<18,M,BLACK,<18,M,BLACK HISPANIC,1013735.125,255973.90625,40.86922277000008,-73.89339411499996,POINT (-73.89339411499998 40.86922277000008)
11118200,2006-04-20,23:36:00,QUEENS,103,0,MULTI DWELL - PUBLIC HOUS,True,18-24,M,BLACK,25-44,M,BLACK,1046708.5,198279.59375,40.710696203000055,-73.77471142499996,POINT (-73.77471142499996 40.710696203000055)
230741754,2021-07-11,14:15:00,MANHATTAN,32,0,UNKNOWN,False,25-44,M,BLACK,45-64,M,BLACK,1001154.0,240559.0,40.826946459000055,-73.93892166499995,POINT (-73.93892166499995 40.826946459000055)
218777494,2020-10-05,12:25:00,BRONX,46,0,UNKNOWN,False,18-24,M,BLACK HISPANIC,18-24,M,BLACK,1012903.1875,253472.140625,40.86235892500008,-73.89641278899995,POINT (-73.89641278899995 40.86235892500008)
33706902,2007-08-11,00:09:00,BRONX,42,0,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK,<18,F,BLACK,1012073.875,240410.0625,40.82651002100005,-73.89946515999996,POINT (-73.89946515999998 40.82651002100005)
225063428,2021-03-02,22:35:00,MANHATTAN,32,0,GROCERY/BODEGA,False,18-24,M,BLACK,18-24,M,BLACK,998593.0,235938.0,40.814267648000055,-73.94818528599995,POINT (-73.94818528599995 40.814267648000055)
241326152,2022-02-27,08:19:00,MANHATTAN,25,0,UNKNOWN,True,25-44,M,BLACK,25-44,M,BLACK,1001980.0,236230.0,40.815057,-73.935946,POINT (-73.935946 40.815057)
167183316,2017-07-18,21:35:00,BRONX,40,0,UNKNOWN,False,<18,M,BLACK,<18,M,BLACK,1007605.0,234283.0,40.80970590700008,-73.91563390299996,POINT (-73.91563390299996 40.80970590700008)
248955331,2022-08-02,19:51:00,BRONX,44,0,UNKNOWN,False,<18,M,BLACK,25-44,M,BLACK,1008053.0,241673.0,40.82997989,-73.91398791,POINT (-73.91398791 40.82997989)
